# JAP
ID	Taxon	Concept	GlossID	IPA	Tokens	CogID
# 
1	Miyako	I	1	ban	b a n	1
2	Tōkyō	I	1	watasi	w a t a s i	2
3	Amami	I	1	waɴ	w a ɴ	1
4	Kyōto	I	1	wate	w a t e	2
5	Hachijō	I	1	ware	w a r e	1
6	Shuri	I	1	waɴ	w a ɴ	1
7	Kōchi	I	1	asi	a s i	2
8	Sado	I	1	ore	o r e	3
9	Oki	I	1	ora	o r a	3
10	Kagoshima	I	1	oiː	oiː	3
# 
11	Miyako	thou	2	vːa	vː a	10
12	Tōkyō	thou	2	anata	a n a t a	5
13	Amami	thou	2	ʔʲa	ʔʲ a	10
14	Kyōto	thou	2	aɴta	a ɴ t a	5
15	Hachijō	thou	2	omi	o m i	4
16	Shuri	thou	2	ʔʲaː	ʔʲ aː	10
17	Kōchi	thou	2	oɴsi	o ɴ s i	7
18	Sado	thou	2	ɴna	ɴ n a	6
19	Oki	thou	2	omae	o m ae	8
20	Kagoshima	thou	2	waiː	w aiː	9
# 
21	Miyako	we	3	bantiː	b a n t iː	11
22	Tōkyō	we	3	watasitaʨi	w a t a s i t a ʨ i	12
23	Amami	we	3	waxja	w a x j a	11
24	Kyōto	we	3	watera	w a t e r a	12
25	Hachijō	we	3	wareɴisa	w a r e ɴ i s a	11
26	Shuri	we	3	watːaː	w a tː aː	11
27	Kōchi	we	3	asiraː	a s i r aː	12
28	Sado	we	3	oraʨi	o r a ʨ i	13
29	Oki	we	3	orara	o r a r a	13
30	Kagoshima	we	3	oidoɴ	oi d o ɴ	13
# 
31	Miyako	this	4	kuri	k u r i	14
32	Tōkyō	this	4	kore	k o r e	14
33	Amami	this	4	xurɨ	x u r ɨ	14
34	Kyōto	this	4	kore	k o r e	14
35	Hachijō	this	4	kore	k o r e	14
36	Shuri	this	4	kuri	k u r i	14
37	Kōchi	this	4	kore	k o r e	14
38	Sado	this	4	kore	k o r e	14
39	Oki	this	4	kore	k o r e	14
40	Kagoshima	this	4	koiː	k oiː	14
# 
41	Miyako	that	5	kari	k a r i	16
42	Tōkyō	that	5	are	a r e	15
43	Amami	that	5	ʔarɨ	ʔ a r ɨ	15
44	Kyōto	that	5	are	a r e	15
45	Hachijō	that	5	ore	o r e	17
46	Shuri	that	5	ʔari	ʔ a r i	15
47	Kōchi	that	5	are	a r e	15
48	Sado	that	5	are	a r e	15
49	Oki	that	5	are	a r e	15
50	Kagoshima	that	5	aiː	aiː	15
# 
51	Miyako	who	6	taru	t a r u	18
52	Tōkyō	who	6	dare	d a r e	18
53	Amami	who	6	θaru	θ a r u	18
54	Kyōto	who	6	dare	d a r e	18
55	Hachijō	who	6	dare	d a r e	18
56	Shuri	who	6	taː	t aː	18
57	Kōchi	who	6	dare	d a r e	18
58	Sado	who	6	dare	d a r e	18
59	Oki	who	6	dare	d a r e	18
60	Kagoshima	who	6	daiː	d aiː	18
# 
61	Miyako	what	7	nau	n au	21
62	Tōkyō	what	7	nani	n a n i	20
