# SIN
ID	Languages	Gloss	GlossId	Ortho	IPA	CogID
# 
1	Meixian	sun	1	日头	ŋit¹tʰew¹¹	184
2	Changsha	sun	1	太阳	tʰaj⁵⁵jan¹³	469
3	Changsha	sun	1	日头	ʐʅ²⁴təw	184
4	Guixian	sun	1	太阳	tʰaj²¹³jaŋ²¹	469
5	Xiamen	sun	1	日头	lit⁵tʰaw	184
6	Xiamen	sun	1	太阳	tʰaj²¹jɔŋ³⁵	469
7	Hefei	sun	1	太阳	tʰᴇ⁵³jɑ̃	469
8	Hefei	sun	1	日头	ʐəʔ⁵tʰɯ	184
9	Jinan	sun	1	太阳	tʰɛ²¹jaŋ	469
10	Jinan	sun	1	老爷爷儿	lɔ⁵⁵jə⁴²jər⁴²	594
11	Jinan	sun	1	日头	ʐʅ²¹tʰow	184
12	Hangzhou	sun	1	太阳	tʰᴇ⁴⁴⁵ɦjɑŋ²¹³	469
13	Guangzhou	sun	1	热头	jit²tʰɐw²¹	184
14	Guangzhou	sun	1	太阳	tʰaj³³jœŋ²¹	469
15	Nanchang	sun	1	太阳	tʰaj²¹³iŋ⁰⁴	469
16	Nanchang	sun	1	日头	ȵiʔ⁵tʰu⁰²	184
17	Chengdu	sun	1	太阳	tʰaj¹³jaŋ³¹	469
18	Taiyuan	sun	1	阳婆	jɒ̃¹¹pʰɒ̃¹¹	997
19	Taiyuan	sun	1	太阳	taj⁴⁵jɒ̃¹¹	469
20	Shexian	sun	1	日头	ni²²tʰju⁴⁴	184
21	Shexian	sun	1	太阳	tʰa³²⁴ja⁴⁴	469
22	Beijing	sun	1	太阳	tʰaj⁵¹jɑŋ¹	469
23	Beijing	sun	1	老爷儿	lɑw²¹⁴ir³⁵	594
24	Beijing	sun	1	日头	ʐʅ⁵¹tʰow¹	184
25	Kunming	sun	1	太阳	tʰæ²¹²jᴀ̃³¹	469
26	Kunming	sun	1	热头	ʐə³¹tʰəw³¹	184
27	Shanghai	sun	1	太阳	tʰa³⁴ɦjã¹³	469
28	Shanghai	sun	1	日头	ȵjɪʔ¹dɤ¹³	184
# 
29	Meixian	moon	2	月光	ŋjat⁵kwoŋ⁴⁴	129
30	Changsha	moon	2	月亮	ɥe²⁴ljan¹¹	659
31	Changsha	moon	2	月亮菩萨	ɥe²⁴ljan⁵⁵pu¹³sa²⁴	831
32	Changsha	moon	2	月亮巴巴	ɥe²⁴ljan⁵⁵pa³³pa	659
33	Guixian	moon	2	月亮	jɛ²¹ljaŋ²¹³	659
34	Xiamen	moon	2	月	geʔ⁵	526
35	Xiamen	moon	2	月娘	geʔ⁵nju³⁵	440
36	Hefei	moon	2	月亮	ɥɐʔ⁵ljɑ̃⁵³	659
37	Jinan	moon	2	月亮	ɥə²¹ljaŋ	659
38	Hangzhou	moon	2	月亮	ɦɥəʔ²ljɑŋ¹³	659
39	Guangzhou	moon	2	月光	jyt²kwɔŋ⁵⁵	129
40	Guangzhou	moon	2	月亮	jyt²lœŋ²²	659
41	Nanchang	moon	2	月光	ȵɥɵʔ²kwɔŋ⁴²	129
42	Chengdu	moon	2	月亮	ɥe³¹njaŋ¹³	659
43	Taiyuan	moon	2	月明	ɥəʔ²mi⁴⁵	889
44	Taiyuan	moon	2	月亮	ɥəʔ²ljɒ̃⁴⁵	659
45	Shexian	moon	2	月亮	we²²lja²²	659
46	Beijing	moon	2	月亮	ɥɛ⁵¹ljɑŋ¹	659
47	Kunming	moon	2	月亮	jɛ³¹ljᴀ̃²¹²	659
48	Kunming	moon	2	太阴	tʰæ²¹²ĩ⁴⁴	469
49	Shanghai	moon	2	月亮	ɦɥɪʔ¹ljã¹³	659
50	Shanghai	moon	2	月光	ɦɥɪʔ¹kwɑ̃⁵³	129
# 
