ID	_DOCULECT	_CONCEPTx	IPA	TOKENS	POS	COGID	ID_IN_SOURCE	CHINESE_GLOSS	SOURCE	ENTRY_IN_SOURCE	GLOSS_IN_SOURCE
#
1	Tuoluo	alcohol	t͡sɤŋ₃₃	t͡s ɤ ŋ ₃₃	?	452	452	?	Wang2006a	tsvŋ33	alcoholic beverage
2	Gongxing	alcohol	t͡soŋ₂₂	t͡s o ŋ ₂₂	?	452	452	?	Wang2006a	tsoŋ22	alcoholic beverage
3	Enqi	alcohol	t͡so₂₂	t͡s o ₂₂	?	452	452	?	Wang2006a	tso22	alcoholic beverage
4	Ega	alcohol	t͡sõ₂₂	t͡s õ ₂₂	?	452	452	?	Wang2006a	tsõ22	alcoholic beverage
5	Jinman	alcohol	t͡sŋ₂₂	t͡s ŋ ₂₂	?	452	452	?	Wang2006a	tsŋ22	alcoholic beverage
6	Jinxing	alcohol	t͡sɤ̃₃₃	t͡s ɤ̃ ₃₃	?	452	452	?	Wang2006a	tsṽ33	alcoholic beverage
7	Dashi	alcohol	t͡sõ₃₃	t͡s õ ₃₃	?	452	452	?	Wang2006a	tsõ33	alcoholic beverage
8	Zhoucheng	alcohol	t͡si₃₃	t͡s i ₃₃	?	452	452	?	Wang2006a	tsi33	alcoholic beverage
9	Mazhelong	alcohol	t͡soŋ₃₃	t͡s o ŋ ₃₃	?	452	452	?	Wang2006a	tsoŋ33	alcoholic beverage
10	Jianchuan	alcohol	t͡sɤ̃₃₃	t͡s ɤ̃ ₃₃	?	452	204	酒	Allen2007	tsɤ̃33	alcohol(drink)
11	Eryuan	alcohol	t͡sɤ₃₃	t͡s ɤ ₃₃	?	452	204	酒	Allen2007	tsɤ33	alcohol(drink)
12	Heqi	alcohol	t͡sũɔ̃₃₃	t͡s ũɔ̃ ₃₃	?	452	204	酒	Allen2007	tsũɔ̃33	alcohol(drink)
13	Lanping	alcohol	t͡sõ₄₄	t͡s õ ₄₄	?	452	204	酒	Allen2007	tsõ44	alcohol(drink)
14	Qiliqiao	alcohol	t͡sɿ₃₃	t͡s ɿ ₃₃	?	452	204	酒	Allen2007	tsɿ33	alcohol(drink)
15	Yunlong	alcohol	d͡zɿ₃₃	d͡z ɿ ₃₃	?	452	204	酒	Allen2007	dzɿ33	alcohol(drink)
16	Xiangyun	alcohol	jɛ̃₃₃	j ɛ̃ ₃₃	?	452	204	酒	Allen2007	jɛ̃33	alcohol(drink)
17	Luobenzhuo	alcohol	t͡sõ₃₃	t͡s õ ₃₃	?	452	204	酒	Allen2007	tsõ33	alcohol(drink)
18	Tuoluo	ant	t͡ɕien₅₅ɕaŋ₅₅	t͡ɕ ie n ₅₅ ɕ a ŋ ₅₅	?	365	365	?	Wang2006a	tɕien55(ɕaŋ55)	ant
19	Gongxing	ant	d͡zu₁₂bu₁₂	d͡z u ₁₂ b u ₁₂	?	365	365	?	Wang2006a	dzu12bu12	ant
20	Enqi	ant	t͡su₄₃pɯ₂₁	t͡s u ₄₃ p ɯ ₂₁	?	365	365	?	Wang2006a	tsu43pɯ21	ant
21	Ega	ant	t͡ɕi₂₁pɯ₂₁	t͡ɕ i ₂₁ p ɯ ₂₁	?	365	365	?	Wang2006a	tɕi21pɯ21	ant
22	Jinman	ant	t͡ɕi₂₁pɯ₂₁	t͡ɕ i ₂₁ p ɯ ₂₁	?	365	365	?	Wang2006a	tɕi21pɯ21	ant
23	Jinxing	ant	pien₂₁põ₂₁	p ie n ₂₁ p õ ₂₁	?	365	365	?	Wang2006a	pien21põ21	ant
24	Dashi	ant	pi₂₁po₂₁	p i ₂₁ p o ₂₁	?	365	365	?	Wang2006a	pi21po21	ant
25	Zhoucheng	ant	pi₂₁pɯ₂₁	p i ₂₁ p ɯ ₂₁	?	365	365	?	Wang2006a	pi21pɯ21	ant
26	Mazhelong	ant	pi₅₅pǝɯ₂₁	p i ₅₅ p ǝɯ ₂₁	?	365	365	?	Wang2006a	pi55pǝɯ21	ant
27	Jianchuan	ant	pĩ₂₁po₂₁t͡sɿ₃₃	p ĩ ₂₁ p o ₂₁ t͡s ɿ ₃₃	?	365	74	蚂蚁	Allen2007	pĩ21po21tsɿ33	ant
28	Eryuan	ant	pi₂₁pɯ₃₁	p i ₂₁ p ɯ ₃₁	?	365	74	蚂蚁	Allen2007	pi21pɯ31	ant
29	Heqi	ant	pi₂₁pɯ₂₁t͡sɿ₃₃	p i ₂₁ p ɯ ₂₁ t͡s ɿ ₃₃	?	365	74	蚂蚁	Allen2007	pi21pɯ21tsɿ33	ant
30	Lanping	ant	pi₃₃pao₃₃t͡sɿ₄₄	p i ₃₃ p ao ₃₃ t͡s ɿ ₄₄	?	365	74	蚂蚁	Allen2007	pi33pao33tsɿ44	ant
31	Qiliqiao	ant	pi₂₁pɯ₃₁	p i ₂₁ p ɯ ₃₁	?	365	74	蚂蚁	Allen2007	pi21pɯ31	ant
32	Yunlong	ant	pi₂₁pɯ₃₁	p i ₂₁ p ɯ ₃₁	?	365	74	蚂蚁	Allen2007	pi21pɯ31	ant
