ID	DOCULECT	CLUSTERFORMAT	CLUSTERID	CONCEPT	IPA	METAGLOSS	MORPHEMES	OB_ATTESTED	OLD_BURMESE	ORIGINAL_CONCEPT	ORIGINAL_ENTRY	ORIGINAL_TAXNAME	PCOGSETS	PROSTRING	TOKENS	CONCEPTID	CONCEPT_VARIANTS	FORM_VARIANTS	HOMOPHONES	ID_BACK	CHECK	COGID
1	Achang_Lianghe	8 8	2	all	kɯŋ⁵⁵kɯŋ⁵⁵	all	k ɯ ŋ ⁵⁵ + k ɯ ŋ ⁵⁵	?	?	all 3	kɯŋ⁵⁵ kɯŋ⁵⁵  | 213.44	Achang (Lianghe) JZ-Achang	8 8	CVcTCVcT	k ɯ ŋ ⁵⁵ ◦ k ɯ ŋ ⁵⁵	1				10	-	289
2	Achang_Longchuan	1 1	3	all	pʐa⁵⁵pʐa⁵⁵	all	pʐ a ⁵⁵ + pʐ a ⁵⁵	?	?	all 1	pʐa⁵⁵ pʐa⁵⁵  | 0962.28 | 0963.28	Achang (Longchuan) TBL	1 1	CCVTCCVT	p ʐ a ⁵⁵ ◦ p ʐ a ⁵⁵	1				1	-	429
3	Achang_Longchuan_B	1 1	3	all	pʐa³¹pʐa³¹	all	pʐ a ³¹ + pʐ a ³¹	?	?	all 1	pʐa³¹ pʐa³¹  | 999.41	Achang (Longchuan) ZMYYC	1 1	CCVTCCVT	p ʐ a ³¹ ◦ p ʐ a ³¹	1				2	-	429
4	Achang_Luxi	8 8	2	all	kəŋ⁵⁵kəŋ⁵¹	all	k ə ŋ ⁵⁵ + k ə ŋ ⁵¹	?	?	all 3	kəŋ⁵⁵ kəŋ⁵¹  | 1534.31	Achang (Luxi) JZ-Achang	8 8	CVcTCVcT	k ə ŋ ⁵⁵ ◦ k ə ŋ ⁵¹	1				11	-	289
5	Atsi	2 3 0	1	all	pan²¹ʃoʔ⁵⁵	all	p a n ²¹ + ʃ o ʔ ⁵⁵	?	?	all 1	pan²¹ ʃoʔ⁵⁵  | 0963.30	Atsi [Zaiwa] TBL	2 3	CVcTCVcT	p a n ²¹ ◦ ʃ o ʔ ⁵⁵	1				3	-	138
6	Atsi	0 3 4	1	all	lu̱ŋ⁵⁵la̱ŋ⁵⁵	all	l u̱ ŋ ⁵⁵ + l a̱ ŋ ⁵⁵	?	?	all 2	lu̱ŋ⁵⁵ la̱ŋ⁵⁵  | 0962.30	Atsi [Zaiwa] TBL	3 4	CVcTCVcT	l u̱ ŋ ⁵⁵ ◦ l a̱ ŋ ⁵⁵	1				7	-	138
7	Atsi_B	9	5	all	tʃa̱t⁵⁵	all	tʃ a̱ t ⁵⁵	?	?	all 4	tʃa̱t⁵⁵  | 999.42	Atsi [Zaiwa] ZMYYC	9	CVcT	tʃ a̱ t ⁵⁵	1				14	-	707
8	Bola	2 3 0	1	all	pɛ̃⁵⁵ʃaʔ⁵⁵	all	p ɛ̃ ⁵⁵ + ʃ a ʔ ⁵⁵	?	?	all 1	pɛ̃⁵⁵ ʃaʔ⁵⁵  | 0963.32	Bola (Luxi) TBL	2 3	CVVTCVcT	p ɛ̃ ∼ ⁵⁵ ◦ ʃ a ʔ ⁵⁵	1				4	-	138
9	Bola	5 6 0	4	all	a³¹la̱p⁵⁵	all	a ³¹ + l a̱ p ⁵⁵	?	?	all 2	a³¹ la̱p⁵⁵  | 0962.32	Bola (Luxi) TBL	5 6	VTCVcT	a ³¹ ◦ l a̱ p ⁵⁵	1				8	-	570
10	Burmese_ZMYYC	5 0 7	4	all	a³luṁ³	all	a ³ + l u ṁ ³	?	?	all 2	a³ luṁ³  | 999.39	Burmese (Written) ZMYYC	5 7	VTCVcT	a ³ ◦ l u ṁ ³	1				9	-	570
11	Lashi	2 3 0	1	all	pan³¹ʃɔ̱ʔ⁵⁵	all	p a n ³¹ + ʃ ɔ̱ ʔ ⁵⁵	?	?	all 1	pan³¹ ʃɔ̱ʔ⁵⁵  | 0962.33  | 0963.33	Leqi (Luxi) TBL	2 3	CVcTCVcT	p a n ³¹ ◦ ʃ ɔ̱ ʔ ⁵⁵	1				6	-	138
12	Maru	2 3 0	1	all	pəŋ³¹ʃɔʔ⁵⁵	all	p ə ŋ ³¹ + ʃ ɔ ʔ ⁵⁵	?	?	all 1	pəŋ³¹ ʃɔʔ⁵⁵   | 0962.31 | 0963.31	Langsu (Luxi) TBL	2 3	CVcTCVcT	p ə ŋ ³¹ ◦ ʃ ɔ ʔ ⁵⁵	1				5	-	138
13	Maru_B	0 3 0	1	all	lɔ̱̃⁵⁵	all	l ɔ̱̃ ⁵⁵	?	?	all 3	lɔ̱̃⁵⁵  | 999.43	Maru [Langsu] ZMYYC	3	CVVT	l ɔ̱̃ ∼ ⁵⁵	1				12	-	138
14	Xiandao	9	5	all	chot⁵⁵	all	c h o t ⁵⁵	?	?	all 4	chot⁵⁵  | 0962.29 | 0963.29	Achang (Xiandao) TBL	9	CVcT	ch o t ⁵⁵	1				13	-	707
15	Achang_Lianghe	1	8	bad	kɑŋ³¹	bad	k ɑ ŋ ³¹	?	?	bad	kɑŋ³¹  | 158.39	Achang (Lianghe) JZ-Achang	1	CVcT	k ɑ ŋ ³¹	2				46	-	1110
16	Achang_Longchuan	0 2	9	bad	tɕa⁵⁵	bad	tɕ a ⁵⁵	?	?	bad	tɕa⁵⁵  | 1053.28	Achang (Longchuan) TBL	2	CVT	tɕ a ⁵⁵	2				47	-	1128
17	Achang_Luxi	1	8	bad	kaŋ⁵¹	bad	k a ŋ ⁵¹	?	?	bad	kaŋ⁵¹  | 304.2	Achang (Luxi) JZ-Achang	1	CVcT	k a ŋ ⁵¹	2				48	-	1110
18	Atsi	4	10	bad	then²¹	bad	tʰ e n ²¹	?	?	bad	then²¹  | 1053.30	Atsi [Zaiwa] TBL	4	CVcT	th e n ²¹	2				50	-	17
19	Bola	5 6	11	bad	a³¹kai⁵⁵	bad	a ³¹ + k a i ⁵⁵	?	?	bad	a³¹ kai⁵⁵  | 1053.32	Bola (Luxi) TBL	5 6	VTCVT	a ³¹ ◦ k ai ⁵⁵	2				51	-	32
20	Burmese_ZMYYC	7	12	bad	cho³	bad	c h o ³	?	?	bad	cho³  | 861.39	Burmese (Written) ZMYYC	7	CVT	ch o ³	2				52	-	43
21	Hpun	1	8	bad	măkɔ̀ŋ	bad	?	?	?	bad (= 'not good')	măkɔ̀ŋ  | 0217.23	Hpun (Northern) EJAH-Hpun	1	CVCVc	m ă ◦ k ɔ̀ ŋ	2				55	-	1110
22	Lashi	9	13	bad	pjɔːʔ³¹	bad	p j ɔː ʔ ³¹	?	?	bad	pjɔːʔ³¹  | 1053.33	Leqi (Luxi) TBL	9	CCVcT	p j ɔː ʔ ³¹	2			bad // to collapse	54	-	55
23	Maru	8	14	bad	kɔi³⁵	bad	k ɔ i ³⁵	?	?	bad	kɔi³⁵  | 1053.31	Langsu (Luxi) TBL	8	CVT	k ɔi ³⁵	2				53	-	66
24	Xiandao	3 2	9	bad	n³¹cɛ⁵⁵	bad	n ³¹ + c ɛ ⁵⁵	?	?	bad	n³¹ cɛ⁵⁵  | 1053.29	Achang (Xiandao) TBL	3 2	CTCVT	n ³¹ c ɛ ⁵⁵	2				49	-	1128
25	Achang_Longchuan	1	105	be on the other side	xuaŋ³¹	other	x u a ŋ ³¹	?	?	be on the other side (of a riv v.	xuaŋ³¹  | 1343.28	Achang (Longchuan) TBL	1	CVcT	x ua ŋ ³¹	3				577	-	10
26	Atsi	2	104	be on the other side	kjo̱⁵¹	other	k j o̱ ⁵¹	?	?	be on the other side (of a riv v.	kjo̱⁵¹  | 1343.30	Atsi [Zaiwa] TBL	2	CCVT	k j o̱ ⁵¹	3				579	-	9
27	Bola	2	104	be on the other side	kja̱⁵⁵	other	k j a̱ ⁵⁵	?	?	be on the other side (of a riv v.	kja̱⁵⁵  | 1343.32	Bola (Luxi) TBL	2	CCVT	k j a̱ ⁵⁵	3				580	-	9
28	Lashi	2	104	be on the other side	kjɔ̱ː³³	other	k j ɔ̱ː ³³	?	?	be on the other side (of a riv v.	kjɔ̱ː³³  | 1343.33	Leqi (Luxi) TBL	2	CCVT	k j ɔ̱ː ³³	3				582	-	9
29	Maru	2	104	be on the other side	kjɔ̱³¹	other	k j ɔ̱ ³¹	?	?	be on the other side (of a riv v.	kjɔ̱³¹  | 1343.31	Langsu (Luxi) TBL	2	CCVT	k j ɔ̱ ³¹	3				581	-	9
30	Xiandao	1	105	be on the other side	xɔŋ³¹	other	x ɔ ŋ ³¹	?	?	be on the other side (of a riv v.	xɔŋ³¹  | 1343.29	Achang (Xiandao) TBL	1	CVcT	x ɔ ŋ ³¹	3				578	-	10
31	Achang_Lianghe	1 0 0	15	big	kɯ³¹	big	k ɯ ³¹	?	?	big	kɯ³¹  | 0964.29	Achang (Lianghe) JZ-Achang	1	CVT	k ɯ ³¹	4			big // thick (diameter)	56	-	80
32	Achang_Longchuan	1 0 0	15	big	kʐə³¹	big	kʐ ə ³¹	?	?	big	kʐə³¹  | 0964.28	Achang (Longchuan) TBL	1	CCVT	k ʐ ə ³¹	4			big // wide	57	-	80
33	Achang_Luxi	1 0 0	15	big	kɯ⁵¹	big	k ɯ ⁵¹	?	?	big	kɯ⁵¹  | 163	Achang (Luxi) JZ-Achang	1	CVT	k ɯ ⁵¹	4				58	-	80
34	Atsi	1 0 0	15	big	ko̱²¹	big	k o̱ ²¹	?	?	big	ko̱²¹  | 0964.30	Atsi [Zaiwa] TBL	1	CVT	k o̱ ²¹	4			big // wide	60	-	80
35	Bola	1 0 0	15	big	kɔ̱³⁵	big	k ɔ̱ ³⁵	?	?	big	kɔ̱³⁵  | 0964.32	Bola (Luxi) TBL	1	CVT	k ɔ̱ ³⁵	4			big // wide	61	-	80
36	Burmese_ZMYYC	1 0 0	15	big	krīḥ	big	k r i ³	?	krīḥ	big	kri³  | 800.39	Burmese (Written) ZMYYC	1	CCVT	k r ī ḥ	4				62	-	80
37	Hpun	1 0 0	15	big	chèʼ	big	c h èʼ	?	?	big	chèʼ, chì, chè-ŋ  | 24	Hpun (Northern) EJAH-Hpun	1	CVc	ch è ʔ	4		chèʼ // chì // chè-ŋ		63	-	80
38	Lashi	1 0 0	15	big	kjiː³³	big	k j iː ³³	?	?	big	kjiː³³  | 0964.33	Leqi (Luxi) TBL	1	CCVT	k j iː ³³	4			big // wide	67	-	80
39	Maru	1 0 0	15	big	ɣə³⁵	big	ɣ ə ³⁵	?	?	big	ɣə³⁵  | 0964.31	Langsu (Luxi) TBL	1	CVT	ɣ ə ³⁵	4			big // wide	66	-	80
40	Maru_D	1 0 0	15	big	yī	big	y ī	?	?	big	yī  | 240	Maru [Langsu] JO-PB	1	CV	y ī	4				68	-	80
41	Xiandao	1 0 0	15	big	kɯ³¹	big	k ɯ ³¹	?	?	big	kɯ³¹  | 0964.29	Achang (Xiandao) TBL	1	CVT	k ɯ ³¹	4			big // wide	59	-	80
42	Achang_Lianghe	1	16	bitter	khɑ³¹	bitter	kʰ ɑ ³¹	?	?	bitter	khɑ³¹  | 0476.26	Achang (Lianghe) JZ-Achang	1	CVT	kh ɑ ³¹	5				70	-	97
43	Achang_Longchuan	1	16	bitter	xɔ³¹	bitter	x ɔ ³¹	?	?	bitter	xɔ³¹  | 1074.28	Achang (Longchuan) TBL	1	CVT	x ɔ ³¹	5				71	-	97
44	Achang_Luxi	1	16	bitter	kha⁵⁵	bitter	kʰ a ⁵⁵	?	?	bitter	kha⁵⁵  | 688.29	Achang (Luxi) JZ-Achang	1	CVT	kh a ⁵⁵	5				72	-	97
45	Atsi	1	16	bitter	kho²¹	bitter	kʰ o ²¹	?	?	bitter	kho²¹  | 1074.30	Atsi [Zaiwa] TBL	1	CVT	kh o ²¹	5				74	-	97
46	Bola	1	16	bitter	kha³⁵	bitter	kʰ a ³⁵	?	?	bitter	kha³⁵  | 1074.32	Bola (Luxi) TBL	1	CVT	kh a ³⁵	5				75	-	97
47	Burmese_ZMYYC	1	16	bitter	khāḥ	bitter	kʰ ā ḥ	?	khāḥ	bitter	khāḥ	Burmese (Written) ZMYYC	1	CVT	kh ā ḥ	5				76	-	97
48	Hpun	1	16	bitter	khà	bitter	kʰ à	?	?	bitter	khà, khà-ŋ  | 311	Hpun (Northern) EJAH-Hpun	1	CV	kh à	5		khà // khà-ŋ		77	-	97
49	Lashi	1	16	bitter	khɔː⁵⁵	bitter	kʰ ɔː ⁵⁵	?	?	bitter	khɔː⁵⁵  | 1074.33	Leqi (Luxi) TBL	1	CVT	kh ɔː ⁵⁵	5				80	-	97
50	Maru	1	16	bitter	khɔ³⁵	bitter	kʰ ɔ ³⁵	?	?	bitter	khɔ³⁵  | 1074.31	Langsu (Luxi) TBL	1	CVT	kh ɔ ³⁵	5				79	-	97
51	Xiandao	1	16	bitter	xɔ³¹	bitter	x ɔ ³¹	?	?	bitter	xɔ³¹  | 1074.29	Achang (Xiandao) TBL	1	CVT	x ɔ ³¹	5				73	-	97
52	Achang_Lianghe	1 0 2	17	black	ɑ³¹nɑ³¹	black	ɑ ³¹ + n ɑ ³¹	?	?	black	ɑ³¹ nɑ³¹  | 1147.20	Achang (Lianghe) JZ-Achang	1 2	VTCVT	ɑ ³¹ ◦ n ɑ ³¹	6				81	-	112
53	Achang_Longchuan	4	18	black	lɔk⁵⁵	black	l ɔ k ⁵⁵	?	?	black	lɔk⁵⁵  | 1005.28	Achang (Longchuan) TBL	4	CVcT	l ɔ k ⁵⁵	6				82	-	126
54	Achang_Luxi	0 0 2	17	black	na⁵¹	black	n a ⁵¹	?	?	black	na⁵¹  | 0124.41	Achang (Luxi) JZ-Achang	2	CVT	n a ⁵¹	6				83	-	112
55	Atsi	0 0 2	17	black	noʔ²¹	black	n o ʔ ²¹	?	?	black	noʔ²¹  | 1005.30	Atsi [Zaiwa] TBL	2	CVcT	n o ʔ ²¹	6				85	-	112
56	Bola	0 0 2	17	black	naʔ³¹	black	n a ʔ ³¹	?	?	black	naʔ³¹  | 1005.32	Bola (Luxi) TBL	2	CVcT	n a ʔ ³¹	6				86	-	112
57	Burmese_ZMYYC	0 0 2	17	black	nak	black	n a k	?	nak	black	nak	Burmese (Written) ZMYYC	2	CVc	n a k	6				87	-	112
58	Hpun	0 3 2	17	black	kănᴜ̀ʔ	black	k ă + n ᴜ̀ ʔ	?	?	black	kănᴜ̀ʔ  | 789.41	Hpun (Northern) EJAH-Hpun	3 2	CVCVc	k ă ◦ n ᴜ̀ ʔ	6				88	-	112
59	Lashi	0 0 2	17	black	nɔːʔ³¹	black	n ɔː ʔ ³¹	?	?	black	nɔːʔ³¹  | 1005.33	Leqi (Luxi) TBL	2	CVcT	n ɔː ʔ ³¹	6				90	-	112
60	Maru	0 0 2	17	black	nɔʔ³¹	black	n ɔ ʔ ³¹	?	?	black	nɔʔ³¹  | 1005.31	Langsu (Luxi) TBL	2	CVcT	n ɔ ʔ ³¹	6				89	-	112
61	Xiandao	0 0 2	17	black	nɔʔ⁵⁵	black	n ɔ ʔ ⁵⁵	?	?	black	nɔʔ⁵⁵  | 1005.29	Achang (Xiandao) TBL	2	CVcT	n ɔ ʔ ⁵⁵	6				84	-	112
62	Achang_Lianghe	1 2	20	blunt	n³¹thɑ³¹	blunt	n ³¹ + tʰ ɑ ³¹	?	?	blunt / dull	n³¹ thɑ³¹  | 1388.19	Achang (Lianghe) JZ-Achang	1 2	CTCVT	n ³¹ ◦ th ɑ ³¹	7				91	-	158
