ID	DOCULECT	CONCEPT	GERMAN	CONCEPTICON	CONCEPTICON_GLOSS	IDS	VALUE	FORM	TOKENS	ORIGIN	SOURCE	SOURCE_FORM	MORPHEMES	COGIDS	NOTE	ROOTIDS
1	German	world	die Welt	965	WORLD	1-100	die Welt	welt	v ɛ l t	Stammwort			world	1183		0
2	German	earth, land	die Erde	626	LAND	1-210	die Erde	erde	eː r d + ə	Stammwort			earth _-:suffix.f.s/e	952 91		0
3	German	earth, land	das Land	626	LAND	1-210	das Land	land	l a n t/d	Stammwort			land	39		0
4	German	earth=ground, soil	die Erde	1228	EARTH (SOIL)	1-212	die Erde	erde	eː r d + ə	Stammwort			earth _-:suffix.f.s/e	952 91		0
5	German	earth=ground, soil	der Boden	1228	EARTH (SOIL)	1-212	der Boden	boden	b oː d ə n	Stammwort			ground	26		0
6	German	dust	der Staub	2	DUST	1-213	der Staub	staub	ʃ t au p/b	Stammwort			dust	789		0
7	German	mud	der Schlamm	640	MUD	1-214	der Schlamm	schlamm	ʃ l a m	Stammwort			mud	0		0
8	German	mud	der Schlamm	640	MUD	1-214	der Dreck	dreck	d r ɛ k	Stammwort			dirt	784		0
9	German	sand	der Sand	671	SAND	1-215	Sand	sand	z a n t/d	Stammwort			sand	221		0
10	German	mountain, hill	der Berg		!MOUNTAIN	1-220	Berg	berg	b ɛ r k/g	Stammwort			mountain	851		0
11	German	mountain, hill	der Hügel		!HILL	1-220	Hügel	hügel	h yː g ə l	Stammwort			hill	1109		0
12	German	cliff, precipice	die Klippe	618	PRECIPICE	1-222	die Klippe	klippe	k l ɪ . p + ə	Entlehnung	mndl	clippe.	cliff _-:suffix.f.s/e	1146 91		0
13	German	plain, field	die Ebene	652	PLAIN	1-230	die Ebene	ebene	eː b ə n + ə				even _-:suffix.f.s/e	369 91		0
14	German	plain, field	die Ebene	652	PLAIN	1-230	die Fläche	fläche	f l ɛ/a ç + ə				flat _-:suffix.f.s/e	984 91		0
15	German	plain, field	die Ebene	652	PLAIN	1-230	das Feld	feld	f ɛ l t/d	Stammwort			field	963		0
16	German	valley	das Tal	921	VALLEY	1-240	Tal	tal	t aː l	Stammwort			valley	619		0
17	German	island	die Insel	622	ISLAND	1-250	Insel	insel	ɪ n z ə l	Entlehnung	l	insula	island	0		0
18	German	mainland	das Festland	166	MAINLAND	1-260	das Festland	festland	f ɛ s t + l a n t	Stammwort			fix land	964 965		0
19	German	shore	das Ufer			1-270	das Ufer	ufer	uː f ə r	Stammwort			shore_of_river	0		0
20	German	shore	das Gestade			1-270	das Gestade	gestade	g ə + ʃ t aː d + ə	Stammwort			_-:prefix/ge ? _-:suffix.n.s/e	139 1219 1244	rare	0
21	German	shore	der Strand	113	!SHORE	1-270	der Strand	strand	ʃ t r a n t/d	Entlehnung			shore	287		0
22	German	cave	die Höhle	1155	CAVE	1-280	Höhle	höhle	h øː l + ə	Stammwort			cave _-:suffix.f.s/e	69 91		0
23	German	water	das Wasser	948	WATER	1-310	das Wasser	wasser	v a s ə r	Stammwort			water	644		0
24	German	sea	das Meer	1474	SEA	1-320	das Meer	meer	m eː r	Stammwort			ocean	253		0
25	German	sea	das Meer	1474	SEA	1-320	der See	see	z eː	Stammwort			lake/See	252	specific	0
26	German	calm (of sea)	die Meeresstille	258	?CALM	1-322	die Meeresstille	meeresstille	m eː r + ə s + ʃ t ɪ l ə				ocean _-:genitive/es silence	823 333 824	?	0
