ID	DOCULECT	CONCEPT	IPA	TOKENS	COGID	SOURCE_CONCEPT	SOURCE_FORM	PARTIAL	PARTIALIDS	CLPA	CONCEPTICON_ID	GLOTTOLOG	MORPHEMES	ALIGNMENT	PATTERNS
11	Tasha_Tujia	bark	kʰa²¹+tʰa²⁴+pʰa²¹	kʰ a ²¹ + tʰ a ²⁴ + pʰ a ²¹	4	bark	kʰa21=tʰa24-pʰa21	abc	288 236 10	c813 v130 t004 c136 v130 t008 c261 v130 t004	1204	nort2732	tree skin-tha skin-pha	kʰ a ²¹ + tʰ a ²⁴ + pʰ a ²¹	31 1 3 + 5 1 23 + 15 1 3
207	Tasha_Tujia	leaf	ɣɤ⁵⁵+tʰa⁵⁵	ɣ ɤ ⁵⁵ + tʰ a ⁵⁵	67	leaf	ɣɤ55=tʰa55	bc	139 140	c774 v084 t041 c136 v130 t041	628	nort2732	leaf-gie leaf=tha	ɣ ɤ - ⁵⁵ + tʰ a ⁵⁵	16 17 10 6 + 5 1 6
208	Duogu_Tujia	leaf	ɣɨe⁵³+tʰa⁵³	ɣ ɨ e ⁵³ + tʰ a ⁵³	67	leaf	ɣɨe53=tʰa53	bc	139 140	c774 v116 v200 t037 c136 v130 t037	628	nort2732	leaf-gie leaf	ɣ ɨ e ⁵³ + tʰ a ⁵³	16 17 10 6 + 5 1 6
209	Dianfang_Tujia	leaf	ɣɨe⁵⁵+tʰa⁵⁵	ɣ ɨ e ⁵⁵ + tʰ a ⁵⁵	67	leaf	ɣɨe55=tʰa55	bc	139 140	c774 v116 v200 t041 c136 v130 t041	628	nort2732	leaf-gie leaf	ɣ ɨ e ⁵⁵ + tʰ a ⁵⁵	16 17 10 6 + 5 1 6
210	Boluo_Tujia	leaf	a³³+ɣɨe³³	a ³³ + ɣ ɨ e ³³	68	leaf	a33=ɣɨe33	ab	141 139	v130 t013 c774 v116 v200 t013	628	sout2739	a leaf-gie	- a ³³ + ɣ ɨ e ³³	4 2 6 + 16 17 10 6
211	Tanxi_Tujia	leaf	ʔa²¹+ɣɨe²¹	ʔ a ²¹ + ɣ ɨ e ²¹	68	leaf	ʔa21=ɣɨe21	ab	141 139	c405 v130 t004 c774 v116 v200 t004	628	sout2739	a leaf-gie	ʔ a ²¹ + ɣ ɨ e ²¹	4 2 6 + 16 17 10 6
230	Tasha_Tujia	man	ʦu̯ɔ⁵⁵+pa⁵⁵	ts w ɔ ⁵⁵ + p a ⁵⁵	75	man	cu̯ɔ55=pa55	he	153 154	c015 c457 v067 t041 c288 v130 t041	1554	nort2732	 man-pa	ts w ɔ ⁵⁵ + p a ⁵⁵	0 0 0 0 + 18 1 14
231	Duogu_Tujia	man	no⁵³+pa⁴⁴+ʦe⁴⁴	n o ⁵³ + p a ⁴⁴ + ts e ⁴⁴	75	man	no53=pa44-ce44	def	155 154 156	c105 v042 t037 c288 v130 t030 c015 v200 t030	1554	nort2732		n o ⁵³ + p a ⁴⁴ + ts e ⁴⁴	19 20 6 + 18 1 14 + 0 0 0
232	Dianfang_Tujia	man	no⁵⁵+pa⁵⁵	n o ⁵⁵ + p a ⁵⁵	75	man	no55=pa55	de	155 154	c105 v042 t041 c288 v130 t041	1554	nort2732	 man-pa	n o ⁵⁵ + p a ⁵⁵	19 20 6 + 18 1 14
233	Boluo_Tujia	man	a²¹+ko²¹+bie²¹	a ²¹ + k o ²¹ + b i e ²¹	76	man	a21=ko21-bie21	abc	157 158 159	v130 t004 c831 v042 t004 c254 v191 v200 t004	1554	sout2739	 man person	- a ²¹ + k o ²¹ + b i e ²¹	4 2 11 + 12 1 11 + 21 22 10 11
234	Tanxi_Tujia	man	ʔa²¹+ko²¹+be²¹+ŋɨ²¹	ʔ a ²¹ + k o ²¹ + b e ²¹ + ŋ ɨ ²¹	76	man	ʔa21=ko21-be21-ŋɨ21	abcg	157 158 159 160	c405 v130 t004 c831 v042 t004 c254 v200 t004 c795 v116 t004	1554	sout2739	 man person person-ni	ʔ a ²¹ + k o ²¹ + b - e ²¹ + ŋ ɨ ²¹	4 2 11 + 12 1 11 + 21 22 10 11 + 0 0 0
340	Tasha_Tujia	skin	tʰa²⁴+pʰa²¹	tʰ a ²⁴ + pʰ a ²¹	113	skin	tʰa24-pʰa21	cd	236 10	c136 v130 t008 c261 v130 t004	763	nort2732	skin-tha skin-pha	tʰ a ²⁴ + pʰ a ²¹	5 1 23 + 15 1 3
341	Duogu_Tujia	skin	tʰa⁵³+pʰa²¹	tʰ a ⁵³ + pʰ a ²¹	113	skin	tʰa53-pʰa21	cd	236 10	c136 v130 t037 c261 v130 t004	763	nort2732	skin-tha skin-pha	tʰ a ⁵³ + pʰ a ²¹	5 1 23 + 15 1 3
342	Dianfang_Tujia	skin	tʰa⁵⁵+pʰa²¹	tʰ a ⁵⁵ + pʰ a ²¹	113	skin	tʰa55-pʰa21	cd	236 10	c136 v130 t041 c261 v130 t004	763	nort2732	skin-tha skin-pha	tʰ a ⁵⁵ + pʰ a ²¹	5 1 23 + 15 1 3
343	Boluo_Tujia	skin	ko³³+lo³³	k o ³³ + l o ³³	114	skin	ko33-lo33	ab	238 239	c831 v042 t013 c548 v042 t013	763	sout2739	skin-ko skin-lo	k o ³³ + l o ³³	12 24 6 + 25 1 6
344	Tanxi_Tujia	skin	kɨ²¹+lo²¹	k ɨ ²¹ + l o ²¹	114	skin	kɨ21-lo21	ab	238 239	c831 v116 t004 c548 v042 t004	763	sout2739	skin-ko skin-lo	k ɨ ²¹ + l o ²¹	12 24 6 + 25 1 6
